date,bronze_survival_rate_lag1,raw_ingestion_duration_sec_lag1,bronze_duration_mean_lag1,bronze_duration_std_lag1,bronze_duration_mean,bronze_start_after_end_rows_lag1,silver_vehicle_info_join_miss_rate,raw_ingestion_duration_sec,raw_avg_speed_std,bronze_duration_std,bronze_duplicate_rows_removed_lag1,bronze_duplicate_rows_removed,silver_ingestion_duration_sec_lag1,silver_ingestion_duration_sec,bronze_survival_rate,raw_temporal_coverage_hours,raw_temporal_coverage_hours_lag1,silver_ml_imputed_fuel_std_lag1,p95_idling_per_100km,p50_idling_per_100km,mean_idling_per_100km,silver_ml_imputed_fuel_std
2025-12-03,-0.5821936723696791,-0.261631910456012,0.3042880689879573,0.39532497476738643,-0.5961809242482075,0.9811450696527535,-0.25551481095310963,0.08830207962227483,-0.22422767777533867,-0.7574689781843169,0.3603330376419563,0.1886792410694774,-0.24157303631668353,0.41214407455607854,-0.15515264732956072,-0.44135877032520654,-0.5073111979649427,0.6218864064752164,-0.7027831158228262,-0.7027831158228262,-0.7027831158228262,-1.8526971733109128
2025-12-04,-0.15515264732956072,0.08830207962227483,-0.5961809242482075,-0.7574689781843169,-0.5887898282781935,0.9811450696527535,-0.025599882817515025,0.2374143991968954,0.2931285480019721,-0.76342258823835,0.1886792410694774,0.2780822601176435,0.41214407455607854,0.41190623874757915,-0.3087068643790121,-0.5602209326348624,-0.44135877032520654,-1.8526971733109128,-0.67301333643785,-0.67301333643785,-0.67301333643785,0.5483465165249964
2025-12-05,-0.3087068643790121,0.2374143991968954,-0.5887898282781935,-0.76342258823835,-0.8048767607258897,2.2584848773138857,0.16308325112216693,0.2117059097858912,1.3950938356296088,-0.9886973680309401,0.2780822601176435,0.6321182155483811,0.41190623874757915,0.3619525001742672,-1.100154105227185,-0.5353548352662241,-0.5602209326348624,0.5483465165249964,-0.21248231844424542,-0.21248231844424542,-0.21248231844424542,0.3628906576699416
2025-12-06,-1.100154105227185,0.2117059097858912,-0.8048767607258897,-0.9886973680309401,-0.8591611636424169,0.5553651337657095,-1.7588966887157518,-0.15732787560883973,-1.0174803133743466,-0.9075115743031701,0.6321182155483811,-0.7554166400791564,0.3619525001742672,-0.17035191415931866,0.8348276047010973,-0.18126234770030436,-0.5353548352662241,0.3628906576699416,-0.5808008123423417,-0.5808008123423417,-0.5808008123423417,0.4396098501702941
2025-12-07,0.8348276047010973,-0.15732787560883973,-0.8591611636424169,-0.9075115743031701,0.4805710904854239,0.12958519787866557,-1.0231935884429373,-0.28206876852131557,-1.2461013881108898,0.5272524549631953,-0.7554166400791564,-0.9628316442709017,-0.17035191415931866,-0.3572755879650995,2.049807045445892,-0.25066942631409755,-0.18126234770030436,0.4396098501702941,-1.008509369306762,-1.008509369306762,-1.008509369306762,0.939366514375759
2025-12-08,2.049807045445892,-0.28206876852131557,0.4805710904854239,0.5272524549631953,-0.5468749553777441,-0.2961947380083784,-0.9768792331620433,0.11752619144064681,2.069573932745196,-0.7329675221778786,-0.9628316442709017,0.08139561821167811,-0.3572755879650995,0.21574622318300668,1.3996682428817513,2.268177561580881,-0.25066942631409755,0.939366514375759,-0.9293305052314086,-0.9293305052314086,-0.9293305052314086,0.5454991483531263
2025-12-09,1.3996682428817513,0.11752619144064681,-0.5468749553777441,-0.7329675221778786,-0.24479157538439453,0.12958519787866557,-0.009465535434206673,0.21795374569007384,0.6400781063450445,-0.2540563683706015,0.08139561821167811,0.9968825332648987,0.21574622318300668,0.4047521405837233,-0.14871906278556202,-0.4421531553078834,2.268177561580881,0.5454991483531263,-0.8343443329860688,-0.8343443329860688,-0.8343443329860688,0.5782975497552959
2025-12-10,-0.14871906278556202,0.21795374569007384,-0.24479157538439453,-0.2540563683706015,-0.8000099706211649,-0.2961947380083784,0.15979290658619702,0.22990403226658454,0.2908065867299701,-1.054127960512589,0.9968825332648987,0.8502615820259064,0.4047521405837233,0.4084461123994841,-0.2530278389265206,-0.48756241781303844,-0.4421531553078834,0.5782975497552959,-1.0370708970890548,-1.0370708970890548,-1.0370708970890548,-1.880141528451406
2025-12-11,-0.2530278389265206,0.22990403226658454,-0.8000099706211649,-1.054127960512589,-0.33908259841774346,-0.7219746738954224,0.3707488266815414,0.22432304492999097,-0.38888035881084176,-0.38383636238970886,0.8502615820259064,-0.022311883884194545,0.4084461123994841,-0.21791085707078583,-0.04465983536603278,-0.4315675135595494,-0.48756241781303844,-1.880141528451406,-1.0584600185137771,-1.0584600185137771,-1.0584600185137771,0.5753914960404242
2025-12-12,-0.04465983536603278,0.22432304492999097,-0.33908259841774346,-0.38383636238970886,-0.23196120448698354,0.9811450696527535,0.33812035519528993,-0.239673898883627,0.9486932376093773,-0.15782637187252135,-0.022311883884194545,0.25662553554608364,-0.21791085707078583,-0.4965185395687837,-0.8560316901357332,-0.36502391569735587,-0.4315675135595494,0.5753914960404242,-0.7223993116674371,-0.7223993116674371,-0.7223993116674371,0.36838958536287825
2025-12-13,-0.8560316901357332,-0.239673898883627,-0.23196120448698354,-0.15782637187252135,-0.8709536351142791,-0.7219746738954224,-0.8303511903862117,-0.3207730765540733,-0.24921462453288143,-0.9160064784377144,0.25662553554608364,-0.6803181040786969,-0.4965185395687837,-0.6092275473764267,0.7553414382539456,1.1294913479837547,-0.36502391569735587,0.36838958536287825,-0.9443490303763555,-0.9443490303763555,-0.9443490303763555,0.39742912604026354
2025-12-14,0.7553414382539456,-0.3207730765540733,-0.8709536351142791,-0.9160064784377144,0.9269872124308803,-0.2961947380083784,-1.34786736096072,-0.35799267111923955,-0.8086847153072054,1.001907212351655,-0.6803181040786969,-1.080843629414481,-0.6092275473764267,-0.676350269285012,1.2262954974069082,1.2463028885943024,1.1294913479837547,0.39742912604026354,-1.437762064498664,-1.437762064498664,-1.437762064498664,1.0818488097519863
2025-12-15,1.2262954974069082,-0.35799267111923955,0.9269872124308803,1.001907212351655,-0.25275396702059977,-0.7219746738954224,0.2915954470365154,-0.28384544897577874,1.7743678056003156,-0.2725386316687565,-1.080843629414481,0.05993889364011825,-0.676350269285012,-0.5500298640492367,0.21287617264330883,0.8376749482573512,1.2463028885943024,1.0818488097519863,-0.7676537878665314,-0.7676537878665314,-0.7676537878665314,0.552810150828082
2025-12-16,0.21287617264330883,-0.28384544897577874,-0.25275396702059977,-0.2725386316687565,-0.5775673263860779,-0.2961947380083784,0.2288726289531115,-0.2800419938847652,0.16626189434156827,-0.7390577285795238,0.05993889364011825,0.2959628639272767,-0.5500298640492367,-0.5111968441141128,-0.12433104149415694,-0.35648889565006553,0.8376749482573512,0.552810150828082,-0.7630570819224372,-0.7630570819224372,-0.7630570819224372,0.6783836887856007
2025-12-17,-0.12433104149415694,-0.2800419938847652,-0.5775673263860779,-0.7390577285795238,-0.22042641782520175,-0.2961947380083784,0.3240340434986685,-0.27148845291632806,1.0619554918309448,-0.22375547161723486,0.2959628639272767,0.3209957092607632,-0.5111968441141128,-0.5090888028835812,0.09810553841262941,-0.35798529527021683,-0.35648889565006553,0.6783836887856007,-0.9105534187970459,-0.9105534187970459,-0.9105534187970459,-1.8560888252974463
2025-12-18,0.09810553841262941,-0.27148845291632806,-0.22042641782520175,-0.22375547161723486,-0.24100871987344313,2.2584848773138857,0.45636634033860957,-0.2747439985652261,1.7784664766937455,-0.21379913870343792,0.3209957092607632,0.9718496879314122,-0.5090888028835812,-0.20158803125671007,-0.6348897558779865,-0.4845880926444861,-0.35798529527021683,-1.8560888252974463,-1.0084846439657122,-1.0084846439657122,-1.0084846439657122,0.5227782196598696
2025-12-19,-0.6348897558779865,-0.2747439985652261,-0.24100871987344313,-0.21379913870343792,-0.3164867663726638,0.12958519787866557,0.48207294532453093,0.02729874232716119,0.044161303556329065,-0.21044717374529665,0.9718496879314122,0.2745061393557168,-0.20158803125671007,0.09837610317382692,-0.8115680011086065,0.8787428044605701,-0.4845880926444861,0.5227782196598696,-0.580827670837715,-0.580827670837715,-0.580827670837715,0.21370230299919196
2025-12-20,-0.8115680011086065,0.02729874232716119,-0.3164867663726638,-0.21044717374529665,-0.6449821846342272,-0.7219746738954224,-1.1418141557770314,-0.2208197206520579,-0.23889698059654685,-0.5516420211200007,0.2745061393557168,-0.4156851676961253,0.09837610317382692,-0.2750327749489615,0.40453379608735385,-0.507477464589404,0.8787428044605701,0.21370230299919196,-0.45718173783038746,-0.45718173783038746,-0.45718173783038746,0.25902847019714154
2025-12-21,0.40453379608735385,-0.2208197206520579,-0.6449821846342272,-0.5516420211200007,-0.5094657285017473,-0.2961947380083784,-2.2098488663901734,-0.25422622034381426,-1.569197729342753,-0.40951074547071775,-0.4156851676961253,-0.8662763836988823,-0.2750327749489615,0.42678030810051887,1.2131515870367553,-0.6889297739157482,-0.507477464589404,0.25902847019714154,-0.6539506409418832,-0.6539506409418832,-0.6539506409418832,0.695445177191213
2025-12-22,1.2131515870367553,-0.25422622034381426,-0.5094657285017473,-0.40951074547071775,0.2967721461816385,-0.7219746738954224,-0.38896384694449804,-0.27109808328005797,-0.3120007278845073,0.5486609178642929,-0.8662763836988823,-0.16178059359933364,0.42678030810051887,-0.5540892968955535,-1.010357986979681,-0.6182849326553386,-0.6889297739157482,0.695445177191213,-0.3645561262269136,-0.3645561262269136,-0.3645561262269136,0.39708744300086846
