from,to,weight,abs_weight,bootstrap_frequency,source,source_out_degree,source_in_degree,target_out_degree,target_in_degree,correlation
bronze_duration_mean,bronze_duration_std,0.016027122473168617,0.016027122473168617,1.0,bootstrap_stable,9,0,2,1,
silver_vehicle_info_join_miss_rate,silver_vehicle_type_nulls,0.01585491409411168,0.01585491409411168,1.0,bootstrap_stable,2,2,0,5,
bronze_survival_rate,bronze_start_after_end_rows,-0.015699681579850116,0.015699681579850116,1.0,bootstrap_stable,2,3,0,1,
bronze_survival_rate,bronze_correction_trips_removed,-0.015608341880446942,0.015608341880446942,1.0,bootstrap_stable,2,3,0,1,
mean_fuel_consumption_ecol,std_fuel_consumption_ecol,0.015595750818144323,0.015595750818144323,1.0,bootstrap_stable,2,0,0,1,
mean_fuel_consumption_fms_high,silver_ml_prediction_std,0.015446103948428642,0.015446103948428642,1.0,bootstrap_stable,2,0,0,3,
raw_null_count_idle_time,bronze_idle_time_invalid_corrected,-0.015020742803733902,0.015020742803733902,1.0,structural_pattern,1,1,0,2,
bronze_ingestion_duration_sec,raw_null_count_unit_id,0.014688239544175046,0.014688239544175046,1.0,bootstrap_stable,1,2,1,1,
bronze_duration_mean,bronze_rows_dropped_by_rules,0.013794685013640532,0.013794685013640532,1.0,bootstrap_stable,9,0,2,2,
bronze_duration_mean,raw_null_count_avg_speed,-0.013765696631567058,0.013765696631567058,1.0,structural_pattern,9,0,2,2,
bronze_duration_std,bronze_survival_rate,0.013750294620022158,0.013750294620022158,1.0,bootstrap_stable,2,1,2,3,
mean_fuel_consumption_fms_high,std_fuel_consumption_fms_high,0.013534954202359348,0.013534954202359348,1.0,bootstrap_stable,2,0,0,1,
bronze_duration_std,raw_temporal_coverage_hours,0.012655536731248277,0.012655536731248277,1.0,bootstrap_stable,2,1,0,1,
bronze_duration_mean,raw_null_count_max_speed,-0.011907079209793454,0.011907079209793454,1.0,structural_pattern,9,0,0,2,
bronze_duration_mean,silver_avg_speed_imputed,-0.011058066443361726,0.011058066443361726,1.0,structural_pattern,9,0,0,3,
bronze_rows_dropped_by_rules,bronze_idle_time_invalid_corrected,0.009237562837380862,0.009237562837380862,0.99,bootstrap_stable,2,2,0,2,
silver_ml_large_error_count,silver_ml_prediction_std,-0.00666223125607221,0.00666223125607221,1.0,bootstrap_stable,3,1,0,3,
