iteration,h_value,alpha,rho,loss,success,iter_time_sec
0,0.685681745813234,0.0,1.0,3.8855645649196817,True,0.07802486419677734
1,0.4278699304267164,0.685681745813234,2.0,4.186232328099306,False,0.03881072998046875
2,0.27756044762268317,1.5414216066666668,4.0,4.517913240885746,False,0.043839454650878906
3,0.1846266180170133,2.6516633971573995,8.0,4.85806728695164,False,0.11026501655578613
4,0.13439089664075965,4.128676341293506,16.0,5.137441622727529,True,0.12000656127929688
5,0.0960600461291179,6.27893068754566,32.0,5.453450856857342,True,0.05257582664489746
6,0.0700445230956035,9.352852163677433,64.0,5.765903942216953,True,0.04809093475341797
7,0.051911721900040675,13.835701641796057,128.0,6.080557951541651,True,0.026811599731445312
8,0.03589852292703455,20.480402045001263,256.0,6.477735529764764,True,0.06422734260559082
9,0.026928425085074537,29.670423914322107,512.0,6.804850883214821,False,0.14252614974975586
10,0.019243376146199864,43.45777755788027,1024.0,7.209244812535045,True,0.09519314765930176
11,0.013323734074873528,63.16299473158893,2048.0,7.660979756130729,True,0.4597916603088379
12,0.009821372724410082,90.45000211692991,4096.0,8.042549257003648,True,0.07394814491271973
13,0.006718709952536983,130.6783447961136,8192.0,8.5282110913488,False,0.0437471866607666
14,0.0048611764845460925,185.71801672729657,16384.0,8.942467073973853,True,0.025084495544433594
15,0.0033415894542301317,265.36353225009975,32768.0,9.423821092882479,True,0.03658413887023926
16,0.002392790775758158,374.8607354863127,65536.0,9.847567705945863,True,0.017470598220825195
17,0.0016317899929845225,531.6746717663993,131072.0,10.326360061639212,True,0.03300142288208008
18,0.0011599877665631197,745.5566497268667,262144.0,10.743028402416224,True,0.01737046241760254
19,0.0007848425023126993,1049.6404828047891,524288.0,11.206738467826574,True,0.03895831108093262
20,0.0005533137445254965,1461.1239886573096,1048576.0,11.60654736156308,True,0.018418073654174805
21,0.0003745315177425823,2041.3155016368767,2097152.0,12.035510638023165,True,0.033635854721069336
22,0.00025945344123101677,2826.7650231337684,4194304.0,12.419639733777887,True,0.01735377311706543
23,0.0001773097049806438,3914.991629502787,8388608.0,12.797821433438534,True,0.021505117416381836
24,0.00012203844860181334,5402.373239181055,16777216.0,13.1483518152479,True,0.02402806282043457
25,8.288936778910738e-05,7449.838651678576,33554432.0,13.48978859757342,True,0.022158384323120117
26,5.675906256641383e-05,10231.14430668117,67108864.0,13.803223021202054,True,0.03919792175292969
27,3.8614452662955046e-05,14040.180517218127,134217728.0,14.100939282482623,True,0.04527878761291504
28,2.6294316171515675e-05,19222.924621603503,268435456.0,14.377718861335861,True,0.028651714324951172
29,1.78566102277955e-05,26281.251373312487,536870912.0,14.636613584342395,True,0.02827763557434082
30,1.2169629876268573e-05,35867.945991537585,1073741824.0,14.874437508497092,True,0.016031980514526367
31,8.247375504311094e-06,48934.986572287096,2147483648.0,15.097667201045867,True,0.024024486541748047
32,5.589063853506104e-06,66646.09060671093,4294967296.0,15.303622103023917,True,0.015611886978149414
33,3.78643677834134e-06,90650.93707277538,8589934592.0,15.49350758542186,True,0.025785446166992188
34,2.5632040561163194e-06,123176.1813354707,17179869184.0,15.66850148857059,True,0.01819300651550293
35,1.734994597768491e-06,167211.69171144726,34359738368.0,15.829236768641726,True,0.025913238525390625
36,1.1751843231877501e-06,226825.652160666,68719476736.0,15.976447122486501,True,0.017735004425048828
37,7.936271373409909e-07,307583.7039184785,137438953472.0,16.11233459558411,True,0.024641036987304688
38,5.363521680123995e-07,416658.9871216035,274877906944.0,16.236443457958913,True,0.01462864875793457
39,3.622154238769326e-07,564090.3484497285,549755813888.0,16.350100557516118,True,0.04561448097229004
40,2.4463140846364695e-07,763220.3836059785,1099511627776.0,16.453906833471255,True,0.018820762634277344
41,1.6512762357479005e-07,1032195.4617309785,2199023255552.0,16.548782263444632,True,0.015958547592163086
42,1.1141063538389062e-07,1395314.9461059785,4398046511104.0,16.635407871916257,True,0.015642404556274414
43,7.514181277201715e-08,1885304.1023559785,8796093022208.0,16.71442365069054,True,0.025623798370361328
44,5.0681741470270936e-08,2546258.4773559785,17592186044416.0,16.78638730304768,True,0.02018284797668457
45,3.418447391823065e-08,3437861.1023559785,35184372088832.0,16.851900451250998,True,0.01586008071899414
46,2.304287249899062e-08,4640620.352355978,70368744177664.0,16.911607421206313,True,0.01542973518371582
47,1.553355843952886e-08,6262118.352355978,140737488355328.0,16.965903980907328,True,0.014800071716308594
48,1.0466749245097162e-08,8448272.35235598,281474976710656.0,17.015323890722595,True,0.016961097717285156
49,7.053117201394343e-09,11394400.35235598,562949953421312.0,17.0602303253605,True,0.0231626033782959
