date,raw_min_trip_start_ts,silver_ml_imputed_fuel_std,bronze_mean_fuel_consumption_ecol,bronze_ingestion_duration_sec,bronze_correction_trips_removed,bronze_survival_rate,raw_null_count_avg_speed,silver_ml_imputed_fuel_mean,raw_std_fuel_consumption_ecor,bronze_std_fuel_consumption_ecol,raw_mean_fuel_consumption_ecor,bronze_idle_time_invalid_corrected,silver_fuel_ecol_available,silver_ml_prediction_mean,silver_ml_imputed_fuel_p95,silver_vehicle_type_nulls,silver_ingestion_duration_sec,bronze_excessive_daily_events_units,bronze_distance_km_std,bronze_duration_mean,bronze_duration_std,bronze_distance_km_mean,silver_avg_speed_imputed,raw_std_fuel_consumption_ecol,bronze_mean_fuel_consumption_fms_high,raw_avg_speed_mean,mean_idling_per_100km,bronze_std_fuel_consumption_ecor,mean_fuel_per_100km,silver_ml_residual_std,silver_ml_prediction_std,silver_vehicle_info_join_miss_rate,raw_mean_fuel_consumption_fms_high,raw_ingestion_duration_sec,raw_max_trip_end_ts
2025-10-20,-0.13710344308519948,0.38009552115400047,0.0367610972718543,3.548681254892911,-0.1238971671461403,-0.19230654048486967,0.007233658278119284,0.6471756561942251,-1.0421464554199003,0.7780781690486126,-0.7051618113268393,-0.10299985543143263,0.8438292839462028,0.924720539028963,0.5862212153438691,0.015774274298691097,6.833260879273019,0.2605219404938134,-1.0550920126450989,-0.5164278321239151,-0.4786607188761967,-0.9405500505764411,0.029346627637194908,0.6646460761852838,0.05976823977398741,-0.04824606790284194,-0.627904106275004,0.27747242386767157,0.4322921765370379,0.7655180113121384,0.6233938407614099,-1.6976718162323188,0.10787077568602361,1.284586706733155,-1.7199099059902647
2025-10-21,-0.13565566353082995,0.4322776902267465,-0.6442387742247682,3.7421540923947445,-0.12098522739188827,-0.23106071043485138,0.033592374453233195,0.6210684389697985,-1.0533330245316639,-0.7611445218164398,-0.7227079095173288,-0.10139877006200022,0.900384545754207,0.9387400140417431,0.556220128886619,0.11649063492338943,3.8347521946732455,0.5991309978826459,-1.0746325643116506,-0.40211941829168796,-0.26121031344586254,-0.950781523071012,0.06414506737472686,-0.6539486885018654,0.11818373989076907,-0.03409782395589181,-0.640446792134035,0.08221315150029612,0.483073372629022,0.5271499698748783,0.6895663987324232,-1.646159386096872,0.16601079907156463,1.3029403266148814,-1.6883777343057762
2025-10-22,-0.13424215783584115,-2.04974553100597,0.2826307583416304,2.986798070286136,-0.12403551722496221,-1.296937726896828,0.017915874833297027,-2.099197942034991,-1.0687231242417712,3.6092170383213853,-0.72448113070632,-0.1268912286036721,0.41128373941944346,-1.601850534968865,-1.9170678240272823,-0.22868908209511085,3.2193319195961734,-0.3387861256811114,-1.0383503107097902,-0.37791832091157385,-0.22692862820103438,-0.9209319917442773,-0.07707315844484985,2.5883080685252695,-0.2940349951423096,-0.043676218305366714,-0.7913046980058387,0.11397589443408063,0.3463379849566401,-1.1703561031613692,-1.799336257083922,-1.6495986876313165,-0.17825700687291818,1.2877922151241112,-1.6568455626212877
2025-10-23,-0.13388296132276514,0.3444038589639446,0.4988765700011303,1.5580307482369924,-0.12360070269152187,-1.3224403382298529,0.018705569164049425,0.6000553000832772,-1.0519612653289745,-0.15122953324656987,-0.6990715565383987,-0.12399564868023052,0.37489758302730586,0.8766466962651301,0.5512254630558044,-0.23414735553653845,-0.500258889409128,-0.3505582484095474,-1.0725208948684875,-0.12558176897142653,0.12496022115002463,-0.9375627912932641,-0.08579609173026335,-0.3040845223340802,0.3249021984729857,-0.0552944991870446,-0.6412823883299238,0.3200316694105506,0.5445165752733147,0.496451699853088,0.5143895856604741,-1.5647326880196497,0.43360096203425574,1.283059441191716,-1.6253133909367992
2025-10-24,-0.13133563755886618,0.025904853014341804,0.23891756919300688,-0.8133832107154505,-0.13400331099913262,-2.4001453214945325,-0.018346035111252393,0.4056043173949239,-0.9795904425073692,0.5020163793702511,-0.7387968928004323,-0.14135777300549393,-0.2756923443736864,0.4921843549825788,0.28118752879419934,-0.6557429007350252,-0.5206993839869659,-1.3539711820624214,-1.0722802299234293,-0.45112297935755225,-0.297130443127056,-0.9441904377495285,-0.2643503378794923,0.6111569725799374,-0.9047276942568944,-0.08584248787478518,-0.05860538566394095,0.12754445667338576,0.4545962759496793,0.6837294119230115,-0.021060452094641816,-1.6441792057279951,-0.9018846369877184,-0.35550014388235796,-1.5937812192523106
2025-10-25,-0.1298180654332954,0.09810845561456648,-2.898062944034969,-0.980419450856106,-0.23261397670421022,-2.42538022810586,-0.32171671666029616,-0.26331916514197046,-1.0713323942494644,-1.1921129964386539,-0.9222709707721141,-0.1732545730248954,-1.4213792986384837,-0.7246774662784969,-0.292332910526383,-1.5040557956626532,-0.5820669263469498,-1.78311856516268,-1.0713351063241063,-1.0509692389821375,-1.0689983907863212,-0.9389176056121709,-0.6018532213016973,-1.0950336470277466,-0.4781925573158066,-0.1809038930091556,-0.13846136564813108,-1.3958443100994282,-0.9759264584975499,-1.1353229836049,-0.3261924132716805,-2.2392921734785047,-0.4346488895253973,-0.4442687355817745,-1.5622490475678223
2025-10-26,-0.12925130190107353,0.8592631593494808,-1.1871610730795457,-1.0103181322351378,-0.2666151555994471,0.5541209881787315,-0.41957478440353285,0.12950642475056798,-1.0700256973773594,0.2515430523726604,-0.7202083633732201,-0.18995809485776816,-1.4329629064786773,-0.25047497415925135,0.507307466610032,-1.5618910628810676,-0.5873891001188488,-1.0844965908787678,-1.0615407616888626,1.3252434100194446,1.7322412204812463,-0.8480771810117101,-0.6665708557411769,0.18226811091203193,1.1016560992095055,0.006751087591431834,-2.8456762103559288,0.2660208810667419,-1.86354047851761,-0.41008156136455004,0.44600725687611675,-1.5371536257708422,0.8177336681007518,-0.49504897444486196,-1.5307168758833338
2025-10-27,-0.12713922381748027,0.39879720512966066,-0.5386580517481773,-0.7151355605899739,-0.13249463633007444,0.5631956463354159,6.199867198408302,0.7080629769484492,-0.97504188590026,0.10208603327388993,-0.6514833808712652,-0.08974831907591767,1.0937626578157922,0.8450934422680004,0.5896376501347939,0.28580926791123606,-0.49521504118599535,0.6808937411965106,-1.0743319198145103,0.21277872632789116,0.5367311764377921,-0.9513509248854332,2.503193830731495,0.06824282201266937,0.8487265014060403,-0.0593450940622417,-0.3814951138442791,0.7331834215708655,0.8314317551615732,0.8163603954124132,0.578546619618238,-1.476983008921146,0.9304098766032418,-0.3807230590528121,-1.4991847041988453
2025-10-28,-0.1257810251380299,0.26626073702773106,-0.3252816561005986,-0.6825385475925045,-0.1349651734518946,0.5766359439285185,0.015151944675663625,0.5644331406420019,-0.9706776862115931,1.073403757318682,-0.6474110592575952,-0.09141753573766634,1.2488467251350903,0.8123162697882457,0.38567020022216153,0.3605801369718881,-0.43359775883563123,1.1851686711636973,-1.0755574884633585,-0.4057966648234441,-0.2951860958206773,-0.9527365416557657,0.16295211168041074,0.9885065745512802,0.7082784590801067,-0.061376984838530414,-0.4132941424460402,0.9321400630411072,0.8366663667816443,1.0668676760151807,0.5928743771048413,-1.5870745398637298,0.7894596874476799,-0.3763937349470546,-1.4676525325143568
2025-10-29,-0.12572765815226775,-2.4029924361031236,-0.5130293323595116,0.7696892661523496,-0.1366517267937238,0.5406856147939428,6.60285675262726,-2.301098749104905,-0.9936293189902987,-0.15921012979899188,-0.6816842900293507,-0.10889321221679017,1.2044201821244653,-2.0090324003369093,-2.29033032482512,0.42970580541846093,-0.020983982473600993,1.0802897595830854,-1.0762715665362108,-0.4378365090716009,-0.32098938554548434,-0.9579374394214094,2.7033501646051894,-0.17472053350354697,-0.1435565720172535,-0.06829186265110564,-2.6037157351171274,0.5404625418342472,0.5317697886150669,-0.3740114325733125,-2.260751409264819,-1.4394231035832832,-0.06912630682092497,0.11064633095612492,-1.4361203608298683
