,raw_min_trip_start_ts,silver_ml_imputed_fuel_std,bronze_mean_fuel_consumption_ecol,bronze_ingestion_duration_sec,bronze_correction_trips_removed,bronze_survival_rate,raw_null_count_avg_speed,silver_ml_imputed_fuel_mean,raw_std_fuel_consumption_ecor,bronze_std_fuel_consumption_ecol,raw_mean_fuel_consumption_ecor,bronze_idle_time_invalid_corrected,silver_fuel_ecol_available,silver_ml_prediction_mean,silver_ml_imputed_fuel_p95,silver_vehicle_type_nulls,silver_ingestion_duration_sec,bronze_excessive_daily_events_units,bronze_distance_km_std,bronze_duration_mean,bronze_duration_std,bronze_distance_km_mean,silver_avg_speed_imputed,raw_std_fuel_consumption_ecol,bronze_mean_fuel_consumption_fms_high,raw_avg_speed_mean,mean_idling_per_100km,bronze_std_fuel_consumption_ecor,mean_fuel_per_100km,silver_ml_residual_std,silver_ml_prediction_std,silver_vehicle_info_join_miss_rate,raw_mean_fuel_consumption_fms_high,raw_ingestion_duration_sec,raw_max_trip_end_ts
raw_min_trip_start_ts,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
silver_ml_imputed_fuel_std,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030716008170652014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bronze_mean_fuel_consumption_ecol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024737199502898755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024138267847508767,0.0,0.0,0.002551683649597568,0.0,0.0,0.0
bronze_ingestion_duration_sec,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002597708287845385,0.0,0.0,0.0024971191590156027,0.0,0.0024444863692111222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024246385483669467,0.0,0.0,0.0,0.0,0.0,0.0
bronze_correction_trips_removed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bronze_survival_rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002548636732695217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
raw_null_count_avg_speed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
silver_ml_imputed_fuel_mean,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0031116398522315096,0.0031451311564453066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027199451850561354,0.0030740024418561937,0.0,0.0,0.0,0.0
raw_std_fuel_consumption_ecor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0029963944099569715
bronze_std_fuel_consumption_ecol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
raw_mean_fuel_consumption_ecor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030839606546387657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002815229772128184,0.0,0.0,0.0029449932651220566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025874773757506345,0.0,0.0,0.002842295526982572
bronze_idle_time_invalid_corrected,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
silver_fuel_ecol_available,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
silver_ml_prediction_mean,0.0,0.002937187807882883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003075504743420551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030586297564210055,0.0,0.0,0.0,0.0
silver_ml_imputed_fuel_p95,0.0,0.0031350754796436293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003129843995776713,0.0,0.0,0.0,0.0
silver_vehicle_type_nulls,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0031005072329928886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
silver_ingestion_duration_sec,0.0,0.0,0.0,0.0026621771210548054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025212611777789494,0.0
