date,bronze_distance_km_mean,bronze_distance_km_std,bronze_duration_mean,bronze_duration_std,bronze_excessive_daily_events_units,bronze_impossible_speed_events,bronze_ingestion_duration_sec,bronze_survival_rate,mean_fuel_per_100km,mean_idling_per_100km,raw_avg_speed_mean,raw_avg_speed_std,raw_distance_mean,raw_distance_std,raw_ingestion_duration_sec,raw_max_trip_end_ts,raw_min_trip_start_ts,silver_avg_speed_imputed,silver_ingestion_duration_sec,silver_ml_imputed_fuel_mean,silver_ml_imputed_fuel_p95,silver_ml_imputed_fuel_std,silver_ml_percentage_error_mean,silver_ml_prediction_mean,silver_ml_prediction_std,silver_ml_residual_std,silver_vehicle_info_join_miss_rate
2025-12-01,-1.2678692201844286,-0.9911427781470565,0.13751747158838518,0.19240782194148806,0.5746754008776169,1.0815241444071246,-0.6928749045789975,-0.3000393335175467,0.7455013973382854,-0.32277556076925135,0.48942011543457914,-0.5565313232330251,-0.9675894197492296,-1.2272896376647047,-0.32372471340463493,-1.7063893769835632,-0.16051269459976908,0.8224272678846857,-0.6624387006309784,0.8044951848480276,0.6666224455153021,0.46003381255952164,0.7491881780819332,0.9807737651149852,0.7065582468659221,1.0429627995818391,-0.6365710623649957
2025-12-02,-1.3837016884821074,-1.618098860389249,0.4165108507527355,0.4912070892466441,0.9800365480290903,0.7028561928341858,-0.6634900882695448,-0.8403439527641581,0.7772330690212371,-0.39169038944065404,0.26005718694879176,-0.22538163921700838,-0.9986763983504392,-1.2892641266733904,-0.31789196999134506,-1.6546806079840612,-0.1593156542668816,1.014930079989239,-0.3853127591373551,0.8033517791747827,0.7049305969798105,0.5639178094606625,0.7414256012290632,1.0245191132326112,0.8029293569286892,1.0437068408895414,-0.5694343805810612
2025-12-03,-1.3480295949280956,-1.5792455927645148,-0.6079915920312504,-0.6430657150934354,0.8509732862348856,1.1033703723824866,1.0069267354326825,-0.39824738495445705,0.6752684242672427,-0.5998285971690716,0.4528823871368716,-0.4020390229168697,-0.99779248636204,-1.2757675502165347,0.09700822805034677,-1.6029718389845593,-0.15820724146045734,0.9830562879820434,0.30795807323150637,-1.9927335924338936,-1.7548105801395815,-1.955213671663662,-2.0896035960738417,-1.4808240830911503,-1.6630507735670634,-0.5924683559897727,-0.6088369036201121
2025-12-04,-1.3035055408412393,-1.4203498463097262,-0.5995824231059367,-0.6489236725841425,1.8166180879261826,1.0414727264522945,1.361334506826589,-0.5572152319520396,0.6420492332671246,-0.5659940795144226,0.34553253058589334,0.036309975317822506,-0.9501329894842413,-1.1829099674103836,0.27380365997773787,-1.5512630699850574,-0.15696495733065424,1.0283325370057415,0.30770584696087167,0.7965613166396701,0.6843337935786549,0.4890540411057344,0.7040201001602319,0.9827117643597835,0.6779613005000877,0.8326952710693889,-0.4338934755673549
2025-12-05,-1.2987437460595066,-1.3022739759019029,-0.8454338536485333,-0.870579117226417,1.1652446583655394,0.4279578241442156,1.3213939179062406,-1.3765653371288524,0.4671219969021181,-0.04258258031192484,-0.13880822307896812,0.9699903986957749,-0.9579467030501669,-1.1917013081924919,0.24332231878081073,-1.4995543009855554,-0.15582678344634168,0.8690924467487692,0.2547296140542238,0.6867703580333427,0.5241573108955001,0.300259572324407,0.7790755411720005,0.6837340473448501,0.23483797474203327,0.5330857199771952,-0.2903235276095686
2025-12-06,-0.6098312655012313,-0.6937170024654475,-0.9071955620591486,-0.7906976798816194,-1.007630870072272,-0.8737132593877619,-0.30473351977492996,0.6266351110095314,-0.6569285241173702,-0.46119094227438845,-1.5214222287136208,-1.0741513525586255,-0.8902810350011169,-1.1081558460776892,-0.19422360412337752,-1.4478455319860535,-0.15492708625674464,-0.9491742218234248,-0.3097823411338235,-0.06652312208067278,0.1563984953156296,0.37835987760921713,0.3621392459831935,-0.4059145263855929,0.07818834081242684,-0.9382081178408755,-1.7527677544828146
2025-12-07,-0.7870297062980173,-1.2030296327064331,0.6170756536522065,0.621014981236419,-1.478688479003467,-0.9246877913302729,-0.8108116236911902,1.884449253484864,-1.8204925534439167,-0.9472984318367809,1.3781797857826406,-1.2678589259729232,-0.9690711617647639,-1.2165471885295978,-0.3421229869804276,-1.3961367629865515,-0.15372062515100043,-1.5445812385544222,-0.5080159941519744,0.10118527889435051,0.48269893508164835,0.8871132517063943,-0.29845188538869577,-0.04072484408615044,0.7807642502936927,-0.8089640960242702,-1.192967556059589
2025-12-08,-1.3475053522757245,-1.2031740697174256,-0.5518940629313533,-0.6189579071511064,-0.2302227390122338,-0.3949167629277478,0.8993356289763371,1.2113894855468463,0.9482471914818129,-0.8573085585566124,0.49608788124542785,1.5414683478702331,-0.9451497052761685,-1.1703697016148262,0.13165787662641812,-1.3444279939870498,-0.15438897813442262,0.5723483022936398,0.09967699930476513,0.7578989388016631,0.6617312034462939,0.48615541409685026,0.46176585475768117,1.04038739070171,0.8189613611203985,1.0692967657672547,-1.1577267296087095
2025-12-09,-1.1824281000273045,-1.2725481432486134,-0.20820076193785483,-0.1477410898978314,0.5765391302898076,2.192040733154686,1.3919828034019686,-0.391586981202035,0.7076244867981852,-0.7493530618019282,0.28606979429218954,0.33027568745195596,-1.01143326485752,-1.3285528437391754,0.2507300826090614,-1.2927192249875479,-0.1512695514857982,1.038985772070141,0.3001188838748309,0.7742407096181847,0.6760019340846748,0.5195442582553887,0.8005533543780761,0.9852027890168106,0.7294882191849282,0.9864390075927849,-0.42161676929378344
2025-12-10,-1.3324433861059124,-1.467704027018543,-0.8398966964690414,-0.9349584813215912,0.7743274141585438,1.250832411216179,1.4104024165633446,-0.49957321489004186,0.5959451140063654,-0.9797597243272929,0.30750478249359897,0.034342608643163144,-0.9930336736684705,-1.3099647893633235,0.264898972765002,-1.241010455988046,-0.1500804733117882,1.011923118479126,0.3040363626632331,-2.0066003842056346,-1.7860407198369677,-1.9831520850509954,-2.1014779267921395,-1.4997438860939445,-1.6843247987957763,-0.7315963044550323,-0.2928271673569527
