date,bronze_correction_trips_removed,bronze_distance_km_mean,bronze_duplicate_rows_removed,bronze_duration_mean,bronze_excessive_daily_events_units,bronze_idle_time_invalid_corrected,bronze_ingestion_duration_sec,bronze_invalid_avg_speed_rows,bronze_negative_fuel_events,bronze_null_primary_key_rows,bronze_rows_dropped_by_rules,bronze_start_after_end_rows,bronze_survival_rate,p95_fuel_per_100km,p95_idling_per_100km,raw_avg_speed_mean,raw_distance_mean,raw_ingestion_duration_sec,raw_max_trip_end_ts,raw_min_trip_start_ts,raw_null_count_avg_speed,raw_null_count_distance,raw_null_count_fuel_consumption_fms_low,raw_null_count_gps_coverage,raw_null_count_idle_time,raw_null_count_max_speed,raw_null_count_start,raw_null_count_start_longitude,raw_null_count_unit_id,raw_poor_gps_coverage_count,silver_avg_speed_imputed,silver_fuel_fms_low_available,silver_ingestion_duration_sec,silver_ml_imputation_count,silver_ml_imputed_fuel_p95,silver_ml_large_error_count,silver_null_vehicle_fuel_subtype_rows,silver_vehicle_info_join_miss_rate,silver_vehicle_type_nulls
2025-10-23,-0.12533065299676108,-0.9625450467168177,-0.14605131849386732,-0.1361713574728806,-0.3417902100481239,-0.1253684315677207,1.995815683780021,-0.09772513749352611,-0.0971285862357264,4.114499767010043,-0.16943771940540855,-0.17371425449236627,-1.3310752664821568,0.5500593004111999,-0.6558598051317112,-0.05569826184499972,-0.6633137232034726,1.3327132238444506,-1.719860793564769,-0.13583124082246906,0.018990314169029816,0.5481442135999365,0.7730126173381098,0.009873366115883563,-0.02501065839933912,-0.05568107581908237,-0.11890405309422199,0.8821581821740107,5.594492697507909,0.23309227251881418,-0.08447091246592145,0.38569732532951645,-0.6348746807022598,0.18688840349949018,0.5474084832429177,0.27063480044345734,0.18364983010293537,-1.6548591067292937,-0.23189094545086975
2025-10-24,-0.13559260293575237,-0.9691637500446199,-0.1464507142373574,-0.4581026979913289,-1.33388250583145,-0.1424951228977433,-0.8655304736132607,-0.45958465868617315,-0.0971285862357264,6.388684357290222,-0.5075845767122916,-0.17372119197295083,-2.4027877844919288,0.46114905749608287,-0.07730386658677256,-0.08582756703568462,-0.6860450060800609,-0.32253385561454284,-1.6874386426923147,-0.13331824487708374,-0.017552803090726262,0.23332663252963662,0.6369212617747528,-0.029755184608646967,-0.04602447209554945,-0.06957456294917815,9.955871493827688,0.8806116519532711,-0.1453281850752389,-0.09605779682193948,-0.2605822371812939,-0.08170799946265035,-0.6699035111209731,-0.33193653156515546,0.27567158927875574,-0.22940880750552603,-0.3445976642393242,-1.7364482666847736,-0.6478229037755572
2025-10-25,-0.23286990926052864,-0.9638980328937775,-0.1470825940703417,-1.051297366761136,-1.7581881912080648,-0.1739593975517875,-1.0670762653412544,-0.9751964313579718,-0.0971285862357264,2.4236054840148147,-0.9804829566559676,-0.1737246607132431,-2.427882375058116,-0.953304906425158,-0.15659505404876267,-0.1795860830684672,-0.6866176801739684,-0.4122064885151674,-1.6550164918198607,-0.13182112360320536,-0.3167601007463558,-1.0895974292152286,-1.051884512407476,-0.37265028281931284,-0.2452231822949644,-0.1796404280975223,2.52905408106562,-0.686296378753695,1.0052631675769645,-1.2048160323142285,-0.5934675153340538,-1.3397085076303108,-0.7750689329435825,-1.3652392541323517,-0.3014571879505828,-1.2911702969688845,-1.414007463857965,-2.3476112039405677,-1.4847398201846629
2025-10-26,-0.2664113428483273,-0.873180185378882,-0.14685010998084747,1.2985658734185939,-1.0674481627445884,-0.19043641713744036,-1.1031519900168443,-1.0877012899303609,-0.0971285862357264,-0.18674468208153366,-1.0938953632218036,-0.17372812945353538,0.5350516379632456,-1.830948538935883,-2.8446627453363336,0.005496942817821765,-0.6653175029336247,-0.4635038858378017,-1.6225943409474066,-0.13126199779491557,-0.4132751886703084,-1.7808252514769207,-1.6379604249349076,-0.4734875962255486,1.1558485582431173,-0.20865271701214622,-0.11890405309422199,-1.6679791794596213,-0.1453281850752389,-1.6712862158678072,-0.6572997040351636,-1.4168596927666088,-0.7841895303833777,-1.4659318411572344,0.5032141741139572,-1.473062803547371,-1.47384422155057,-1.6265362477022862,-1.5417981459387013
2025-10-27,-0.1341043277387739,-0.9763145750543487,-0.14547904996588157,0.19843711713773646,0.6780248013383627,-0.09158550086049491,-0.7469849387444201,-0.06897355165680871,-0.0971285862357264,-0.18674468208153366,0.020887726886047415,-0.17371772323265855,0.5440758374373141,0.8337516205188842,-0.3979099122675965,-0.0596933402263013,-0.7008730144115946,-0.34801364716539374,-1.5901721900749524,-0.1291783821447859,6.115323216265417,0.40329361524511825,0.6412470394337992,-0.017697027242525584,-0.042976870235871066,-0.060656446210265315,-0.11890405309422199,0.714314167040804,-0.1453281850752389,0.25660912979222456,2.469097287410006,1.0476163271349297,-0.6262310491407513,0.7523560939639931,0.5860623428784415,0.9350153576179246,0.8135268084650779,-1.5647428522914,0.2810807381866007
2025-10-28,-0.13654145961155525,-0.977698322118918,-0.14378608890392366,-0.4132789990764706,1.1766104346287887,-0.09323208269536301,-0.7076534093289445,0.20581416359315452,-0.0971285862357264,-0.18674468208153366,0.04677133178171974,-0.1737246607132431,0.5574414016686963,0.8389274328127438,-0.42948403781800115,-0.06169738238890393,-0.6927004257646973,-0.3436402321566484,-1.5577500392024983,-0.12783848659524563,0.01548545874060275,0.3370994801266523,0.772175973922695,9.410762924280549,-0.047967484634907714,-0.061931168713666704,-0.11890405309422199,0.6694647906393563,-0.1453281850752389,-0.6411275618106438,0.16087399849525608,1.1692044139575055,-0.5206376484481352,0.8842203123549855,0.3808116196398507,1.10454648447688,0.9350075264400579,-1.6778035097867081,0.3548471580366827
2025-10-29,-0.13820520830337396,-0.9828922019639252,-0.14223023384346237,-0.444963559063752,1.0729147808459751,-0.11047078639510455,1.0446034915936064,0.04971144577017962,-0.0971285862357264,-0.18674468208153366,0.16713111923404242,-0.17372812945353538,0.521690970559635,0.5374556958113863,-2.60441356920262,-0.06851748652410629,-0.6974336633429109,0.14835996973366564,-1.525327888330044,-0.12778583878473235,6.512782241922148,0.52496907650379,0.8130944609635179,0.0037820517819009553,8.206122790524857,-0.06434227174335616,-0.11890405309422199,0.7197725089963554,-0.1453281850752389,0.2725352840480299,2.6665151470738317,1.251807979668807,0.1864576689166994,1.420716669502226,-2.3120251216542633,0.09175996754429787,0.9569832343518038,-1.5261699706482605,0.4230442131880835
2025-10-30,-0.13566409213735398,-0.9684834794469325,-0.14527041039838676,-0.16817358241098085,1.3363863909676137,-0.09387055320276085,1.0811181787918183,0.19112278087739615,-0.0971285862357264,-0.18674468208153366,0.025427092273530724,-0.17369691079090485,0.5667079606754778,0.48024579206417484,-0.49842176075172556,-0.0623416600624979,-0.6956800445505775,0.14560223531564362,-1.49290573745759,-0.1250764940979871,0.005076143369088129,0.2531465274401983,0.7840841025350398,0.008644212010175706,-0.04617086345125452,10.03392046607432,-0.11890405309422199,0.7458815780170764,-0.1453281850752389,-0.051630701047201945,0.15842634645626297,1.1901960791712687,0.13983436993512063,0.9140780005542735,0.3790498863695891,1.1124494829748166,0.9557359224094669,-1.4592209619445995,0.43492060678394673
2025-10-31,-0.15707185850786526,-0.9787880949575657,-0.14562807822837787,0.40554646608077,0.7465909071049578,-0.11730354094795857,0.8083592594169156,-0.14097449267336404,-0.0971285862357264,-0.18674468208153366,-0.07957775379472032,-0.1737246607132431,0.5432817050866235,0.06551738889329564,-1.8475971880793902,-0.08727500732551562,-0.7008617916607357,0.08838034299022564,-1.4604835865851358,-0.12390353724358243,4.623086285974243,0.034672329127404956,0.42871081180088016,3.3978810693722865,5.903719472910627,2.1244254375853893,-0.11890405309422199,0.6472675333534471,-0.1453281850752389,-0.5076744095124477,1.8467127437505482,0.5589467181002497,0.07606290663097058,0.4250016295954,-0.05334943910396873,0.8597025071044847,0.5213416530949649,-1.8672976560673062,0.027951268471044195
2025-11-01,-0.23981086083420988,-0.9252003508747897,0.6121508309127743,-0.20361008452730237,-0.9506318344015006,-0.15706793219817458,-0.5674691247811305,-0.8284762175730261,-0.0971285862357264,-0.18674468208153366,-0.8516285102731175,-0.17372812945353538,-0.1760075371945822,-1.3340475439690074,0.0031083350355712715,-0.22467499138786412,-0.69468350624538,-0.24232623889657032,-1.4280614357126817,-0.1222788395273242,-0.3322214599786662,-1.1349411307518462,-1.15400036927325,-0.3918733194978199,-0.2594364521034208,-0.18502588363514832,-0.11890405309422199,-0.7964639138899082,-0.1453281850752389,-1.3353188358923742,-0.519149990172671,-1.1471031638183156,-0.3886424266868785,-1.1423922660170578,-0.4557231255969855,-1.0371751923702577,-1.226524970061423,-2.048451889124767,-1.2777881292952578
