date,raw_min_trip_start_ts,silver_ml_imputed_fuel_std,bronze_idle_time_invalid_corrected,bronze_ingestion_duration_sec,raw_null_count_avg_speed,bronze_std_fuel_consumption_ecol,bronze_mean_fuel_consumption_ecol,silver_fuel_ecol_available,bronze_correction_trips_removed,raw_std_fuel_consumption_ecor,silver_ml_imputed_fuel_mean,silver_vehicle_type_nulls,silver_ml_prediction_mean,bronze_survival_rate,raw_mean_fuel_consumption_ecor,bronze_distance_km_std,bronze_distance_km_mean,silver_avg_speed_imputed,bronze_excessive_daily_events_units,bronze_duration_mean,bronze_duration_std,bronze_std_fuel_consumption_ecor,raw_avg_speed_mean,mean_fuel_per_100km,bronze_mean_fuel_consumption_fms_high,silver_ml_residual_std,raw_std_fuel_consumption_fms_high,raw_mean_fuel_consumption_fms_high,raw_std_fuel_consumption_ecol,mean_idling_per_100km,raw_max_trip_end_ts,raw_ingestion_duration_sec,raw_avg_speed_std,silver_vehicle_info_join_miss_rate,silver_ingestion_duration_sec,bronze_input_rows,bronze_std_fuel_consumption_fms_high,silver_ml_percentage_error_mean,bronze_mean_fuel_consumption_ecor,raw_distance_mean
2025-10-20,-0.13710344308519948,0.38009552115400047,-0.10299985543143263,3.548681254892911,0.007233658278119284,0.7780781690486126,0.0367610972718543,0.8438292839462028,-0.1238971671461403,-1.0421464554199003,0.6471756561942251,0.015774274298691097,0.924720539028963,-0.19230654048486967,-0.7051618113268393,-1.0550920126450989,-0.9405500505764411,0.029346627637194908,0.2605219404938134,-0.5164278321239151,-0.4786607188761967,0.27747242386767157,-0.04824606790284194,0.4322921765370379,0.05976823977398741,0.7655180113121384,-0.17116010651152583,0.10787077568602361,0.6646460761852838,-0.627904106275004,-1.7199099059902647,1.284586706733155,1.019354070629583,-1.6976718162323188,6.833260879273019,0.6573998068493196,-0.41704855110515265,0.8725973317724103,0.4799623316804988,-0.6537033408118462
2025-10-21,-0.13565566353082995,0.4322776902267465,-0.10139877006200022,3.7421540923947445,0.033592374453233195,-0.7611445218164398,-0.6442387742247682,0.900384545754207,-0.12098522739188827,-1.0533330245316639,0.6210684389697985,0.11649063492338943,0.9387400140417431,-0.23106071043485138,-0.7227079095173288,-1.0746325643116506,-0.950781523071012,0.06414506737472686,0.5991309978826459,-0.40211941829168796,-0.26121031344586254,0.08221315150029612,-0.03409782395589181,0.483073372629022,0.11818373989076907,0.5271499698748783,-0.16733783854784637,0.16601079907156463,-0.6539486885018654,-0.640446792134035,-1.6883777343057762,1.3029403266148814,1.2216143108368793,-1.646159386096872,3.8347521946732455,0.7973103795102826,-0.17804178280316754,0.9508305480803709,0.5307355876276239,-0.6902210262067425
2025-10-22,-0.13424215783584115,-2.04974553100597,-0.1268912286036721,2.986798070286136,0.017915874833297027,3.6092170383213853,0.2826307583416304,0.41128373941944346,-0.12403551722496221,-1.0687231242417712,-2.099197942034991,-0.22868908209511085,-1.601850534968865,-1.296937726896828,-0.72448113070632,-1.0383503107097902,-0.9209319917442773,-0.07707315844484985,-0.3387861256811114,-0.37791832091157385,-0.22692862820103438,0.11397589443408063,-0.043676218305366714,0.3463379849566401,-0.2940349951423096,-1.1703561031613692,-0.13418355993186384,-0.17825700687291818,2.5883080685252695,-0.7913046980058387,-1.6568455626212877,1.2877922151241112,1.1419499538293956,-1.6495986876313165,3.2193319195961734,0.7880958904124998,-0.6986715754870433,-2.09736081981383,0.4629590152024357,-0.6552223604155232
2025-10-23,-0.13388296132276514,0.3444038589639446,-0.12399564868023052,1.5580307482369924,0.018705569164049425,-0.15122953324656987,0.4988765700011303,0.37489758302730586,-0.12360070269152187,-1.0519612653289745,0.6000553000832772,-0.23414735553653845,0.8766466962651301,-1.3224403382298529,-0.6990715565383987,-1.0725208948684875,-0.9375627912932641,-0.08579609173026335,-0.3505582484095474,-0.12558176897142653,0.12496022115002463,0.3200316694105506,-0.0552944991870446,0.5445165752733147,0.3249021984729857,0.496451699853088,-0.16022382680237005,0.43360096203425574,-0.3040845223340802,-0.6412823883299238,-1.6253133909367992,1.283059441191716,1.0979134054884772,-1.5647326880196497,-0.500258889409128,0.7579424579397105,-0.1473820779681179,0.9566434862881563,0.671945332253985,-0.6496621227396229
2025-10-24,-0.13133563755886618,0.025904853014341804,-0.14135777300549393,-0.8133832107154505,-0.018346035111252393,0.5020163793702511,0.23891756919300688,-0.2756923443736864,-0.13400331099913262,-0.9795904425073692,0.4056043173949239,-0.6557429007350252,0.4921843549825788,-2.4001453214945325,-0.7387968928004323,-1.0722802299234293,-0.9441904377495285,-0.2643503378794923,-1.3539711820624214,-0.45112297935755225,-0.297130443127056,0.12754445667338576,-0.08584248787478518,0.4545962759496793,-0.9047276942568944,0.6837294119230115,-0.17552946516241305,-0.9018846369877184,0.6111569725799374,-0.05860538566394095,-1.5937812192523106,-0.35550014388235796,-0.21431660553266565,-1.6441792057279951,-0.5206993839869659,0.6215458365299655,-0.7829719048020699,1.0021460600950955,-0.03298151388183017,-0.6725658491001628
2025-10-25,-0.1298180654332954,0.09810845561456648,-0.1732545730248954,-0.980419450856106,-0.32171671666029616,-1.1921129964386539,-2.898062944034969,-1.4213792986384837,-0.23261397670421022,-1.0713323942494644,-0.26331916514197046,-1.5040557956626532,-0.7246774662784969,-2.42538022810586,-0.9222709707721141,-1.0713351063241063,-0.9389176056121709,-0.6018532213016973,-1.78311856516268,-1.0509692389821375,-1.0689983907863212,-1.3958443100994282,-0.1809038930091556,-0.9759264584975499,-0.4781925573158066,-1.1353229836049,-0.15185833962074466,-0.4346488895253973,-1.0950336470277466,-0.13846136564813108,-1.5622490475678223,-0.4442687355817745,-0.8104845864178213,-2.2392921734785047,-0.5820669263469498,-1.0790488409750452,0.31616717555041357,0.49183152579119427,-1.7322018450895142,-0.6731428675998153
2025-10-26,-0.12925130190107353,0.8592631593494808,-0.18995809485776816,-1.0103181322351378,-0.41957478440353285,0.2515430523726604,-1.1871610730795457,-1.4329629064786773,-0.2666151555994471,-1.0700256973773594,0.12950642475056798,-1.5618910628810676,-0.25047497415925135,0.5541209881787315,-0.7202083633732201,-1.0615407616888626,-0.8480771810117101,-0.6665708557411769,-1.0844965908787678,1.3252434100194446,1.7322412204812463,0.2660208810667419,0.006751087591431834,-1.86354047851761,1.1016560992095055,-0.41008156136455004,-0.14046472092939352,0.8177336681007518,0.18226811091203193,-2.8456762103559288,-1.5307168758833338,-0.49504897444486196,-0.44514478071165314,-1.5371536257708422,-0.5873891001188488,-1.6677714369417957,1.189266891488261,-0.13810663915242305,0.2168479963062935,-0.6516811034929472
2025-10-27,-0.12713922381748027,0.39879720512966066,-0.08974831907591767,-0.7151355605899739,6.199867198408302,0.10208603327388993,-0.5386580517481773,1.0937626578157922,-0.13249463633007444,-0.97504188590026,0.7080629769484492,0.28580926791123606,0.8450934422680004,0.5631956463354159,-0.6514833808712652,-1.0743319198145103,-0.9513509248854332,2.503193830731495,0.6808937411965106,0.21277872632789116,0.5367311764377921,0.7331834215708655,-0.0593450940622417,0.8314317551615732,0.8487265014060403,0.8163603954124132,-0.12494289537689299,0.9304098766032418,0.06824282201266937,-0.3814951138442791,-1.4991847041988453,-0.3807230590528121,0.5267157413635651,-1.476983008921146,-0.49521504118599535,0.6254508670042642,0.3522096845276252,0.8196534612658113,0.7148020528558697,-0.6875063452939361
2025-10-28,-0.1257810251380299,0.26626073702773106,-0.09141753573766634,-0.6825385475925045,0.015151944675663625,1.073403757318682,-0.3252816561005986,1.2488467251350903,-0.1349651734518946,-0.9706776862115931,0.5644331406420019,0.3605801369718881,0.8123162697882457,0.5766359439285185,-0.6474110592575952,-1.0755574884633585,-0.9527365416557657,0.16295211168041074,1.1851686711636973,-0.4057966648234441,-0.2951860958206773,0.9321400630411072,-0.061376984838530414,0.8366663667816443,0.7082784590801067,1.0668676760151807,-0.14342949046839523,0.7894596874476799,0.9885065745512802,-0.4132941424460402,-1.4676525325143568,-0.3763937349470546,0.5808448759321543,-1.5870745398637298,-0.43359775883563123,0.7570335408503404,0.2834952503110471,0.8244761121638052,0.7612886712647202,-0.6792717579614905
2025-10-29,-0.12572765815226775,-2.4029924361031236,-0.10889321221679017,0.7696892661523496,6.60285675262726,-0.15921012979899188,-0.5130293323595116,1.2044201821244653,-0.1366517267937238,-0.9936293189902987,-2.301098749104905,0.42970580541846093,-2.0090324003369093,0.5406856147939428,-0.6816842900293507,-1.0762715665362108,-0.9579374394214094,2.7033501646051894,1.0802897595830854,-0.4378365090716009,-0.32098938554548434,0.5404625418342472,-0.06829186265110564,0.5317697886150669,-0.1435565720172535,-0.3740114325733125,-0.17423105086075935,-0.06912630682092497,-0.17472053350354697,-2.6037157351171274,-1.4361203608298683,0.11064633095612492,-0.1853191868958211,-1.4394231035832832,-0.020983982473600993,0.7984159165405387,-0.5768071955678806,-2.156857652537456,0.5339218161707621,-0.6840409027070555
