from,to,weight,abs_weight,bootstrap_frequency,source,source_out_degree,source_in_degree,target_out_degree,target_in_degree
mean_fuel_consumption_fms_high,silver_ml_prediction_std,0.015446103948428642,0.015446103948428642,1.0,bootstrap_stable,2.0,0.0,0.0,3.0
p95_idling_per_100km,raw_null_count_idle_time,-0.015383030941310676,0.015383030941310676,1.0,bootstrap_stable,,,,
raw_avg_speed_std,raw_avg_speed_mean,0.0151986814470694,0.0151986814470694,1.0,bootstrap_stable,,,,
mean_fuel_consumption_fms_high,raw_distance_std,-0.015128717748866033,0.015128717748866033,1.0,bootstrap_stable,,,,
raw_avg_speed_mean,raw_avg_speed_std,0.014995028478090923,0.014995028478090923,1.0,bootstrap_stable,,,,
bronze_ingestion_duration_sec,raw_null_count_unit_id,0.014688239544175046,0.014688239544175046,1.0,bootstrap_stable,1.0,2.0,1.0,1.0
raw_null_count_unit_id,bronze_ingestion_duration_sec,0.01453114730332916,0.01453114730332916,1.0,bootstrap_stable,,,,
bronze_duration_mean,bronze_rows_dropped_by_rules,0.013794685013640532,0.013794685013640532,1.0,bootstrap_stable,9.0,0.0,2.0,2.0
bronze_duration_std,bronze_survival_rate,0.013750294620022158,0.013750294620022158,1.0,bootstrap_stable,2.0,1.0,2.0,3.0
mean_fuel_consumption_fms_high,std_fuel_consumption_fms_high,0.013534954202359348,0.013534954202359348,1.0,bootstrap_stable,2.0,0.0,0.0,1.0
p95_idling_per_100km,bronze_idle_time_invalid_corrected,-0.013071662644798894,0.013071662644798894,1.0,bootstrap_stable,,,,
bronze_duration_std,raw_temporal_coverage_hours,0.012655536731248277,0.012655536731248277,1.0,bootstrap_stable,2.0,1.0,0.0,1.0
silver_ml_large_error_count,silver_ml_prediction_std,-0.00666223125607221,0.00666223125607221,1.0,bootstrap_stable,3.0,1.0,0.0,3.0
mean_fuel_consumption_ecor,raw_ingestion_duration_sec,0.006099818500066396,0.006099818500066396,1.0,bootstrap_stable,,,,
silver_avg_speed_imputed,raw_avg_speed_mean,0.014141284891612966,0.014141284891612966,0.99,bootstrap_stable,,,,
bronze_rows_dropped_by_rules,bronze_idle_time_invalid_corrected,0.009237562837380862,0.009237562837380862,0.99,bootstrap_stable,2.0,2.0,0.0,2.0
