date,bronze_correction_trips_removed,bronze_distance_km_mean,bronze_distance_km_std,bronze_duplicate_rows_removed,bronze_duration_mean,bronze_duration_std,bronze_excessive_daily_events_units,bronze_idle_time_invalid_corrected,bronze_ingestion_duration_sec,bronze_invalid_avg_speed_rows,bronze_negative_fuel_events,bronze_null_primary_key_rows,bronze_rows_dropped_by_rules,bronze_start_after_end_rows,bronze_survival_rate,p95_fuel_per_100km,p95_idling_per_100km,raw_avg_speed_mean,raw_avg_speed_std,raw_distance_std,raw_ingestion_duration_sec,raw_max_trip_end_ts,raw_null_count_avg_speed,raw_null_count_gps_coverage,raw_null_count_idle_time,raw_null_count_max_speed,raw_null_count_start,raw_null_count_unit_id,raw_poor_gps_coverage_count,raw_temporal_coverage_hours,silver_avg_speed_imputed,silver_ingestion_duration_sec,silver_ml_large_error_count,silver_ml_percentage_error_mean,silver_ml_prediction_mean,silver_ml_prediction_std,silver_ml_residual_mean,silver_ml_residual_std,silver_vehicle_info_join_miss_rate,silver_vehicle_type_nulls
2025-10-20,-0.12475837967248464,-0.9323268941490235,-1.0487564762569728,-0.14157610616375416,-0.5093459142351187,-0.4690167395811505,0.24939828128132824,-0.10407789458107668,3.5344303982979595,0.04319546089405497,-0.09622504486493763,1.6233392353829716,-0.06932569381335134,-0.1720655044954331,-0.21983734080526046,0.4311193754304054,-0.6228644699457101,-0.048544774853317915,1.012240327294258,-0.7523494676277924,1.2765651388331853,-1.7198125716239832,0.006183675354764259,-0.0055806627692562265,-0.026000599685679436,-0.05556160398968781,-0.165376670031731,3.422497435949385,0.2818079131018314,0.06166624019645808,0.02632515518029851,7.072654750199417,0.6554136263509462,0.8769650954850493,0.9258808550157839,0.6218485855791115,-0.7414484516784616,0.7565589960294414,-1.7326739673371625,0.016954821026947755
2025-10-21,-0.1218593883247538,-0.9426217839611362,-1.068471111530509,-0.14218968209396615,-0.3953606317815498,-0.25133112265015467,0.589112176312607,-0.10248389722202209,3.7274883157041594,0.1834511532298804,-0.09622504486493763,1.7130216493497648,0.09774639482099999,-0.1720725045743686,-0.2595160845230664,0.4816709218020986,-0.6353538780589784,-0.03446078025004952,1.2136759658412908,-0.8410674502298865,1.2948423089496564,-1.6879907183276848,0.032423799488093145,0.019695486434436783,-0.020063443231428144,-0.05241998954364535,2.273197744216425,-0.16344152742928986,0.09785328143445769,0.06161512260744826,0.060981092356292795,3.9804209262402632,0.7623954672965823,0.9550167488045378,0.9398512815807952,0.687725262266918,-0.7315560166859133,0.5161270567210609,-1.6792546416207597,0.11722096492542945
2025-10-22,-0.12489611455552162,-0.9125872375050909,-1.0318656252132004,-0.14502295918347444,-0.37122794698542066,-0.21701235563205645,-0.3518652497474837,-0.12786350056299772,2.9737522232816884,-0.13898992715456573,-0.09622504486493763,4.592694520273514,-0.23008634265411515,-0.17206900453490084,-1.3508221562433398,0.34555389773572465,-0.7855709826506047,-0.04399567764309746,1.1343363951634626,-0.7285775093361777,1.279757295069875,-1.6561688650313864,0.01681783092458702,0.011701972955294352,-0.0262826817796597,-0.05589571219267963,3.831587038030812,2.932341889101977,0.1573075111055005,0.06159838613795122,-0.07965883285363361,3.3457643049947015,-0.5112492759758958,-2.086100402276038,-1.5918507731936715,-1.7900486154855282,2.064539591290721,-1.196076788504902,-1.682821259783062,-0.22641574874000542
2025-10-23,-0.12446323349454824,-0.9293211190587971,-1.0663406295666096,-0.1447282021189608,-0.1196047096227459,0.1352571244387208,-0.36367578339269246,-0.12498073938172877,1.548049022695573,-0.10306973743865282,-0.09622504486493763,4.5413561091150605,-0.17295229258822953,-0.1720655044954331,-1.376933193598131,0.5428362575313331,-0.6361859248809782,-0.05556119813103626,1.0904793809259201,-0.7474012771428536,1.2750442349300979,-1.6243470117350878,0.017603972295383106,0.010673338116622782,-0.025396138055721725,-0.05542197668097481,-0.165376670031731,9.11085777753222,0.23794158575194896,0.06263925831364248,-0.08834604498756246,-0.49009068851150983,0.26105802337915957,0.9608161963943656,0.8779752030981626,0.5133317276691443,-0.6073841210760779,0.4851629872499693,-1.5948136766893626,-0.23184962290822306
2025-10-24,-0.13481958493813867,-0.9359898453850503,-1.0660978205765714,-0.14513123728880595,-0.4442256677142632,-0.2872901063752831,-1.3703627239152176,-0.14226600152353355,-0.818279223350916,-0.46844535611312177,-0.09622504486493763,7.056443675166471,-0.5143908387987014,-0.1720725045743686,-2.4803494166665794,0.45332260817219927,-0.05598396763658296,-0.08597046372131376,-0.21640075488185026,-0.7737096511082768,-0.3566901300269871,-1.5925251584387894,-0.019280930939806325,-0.02932563797645339,-0.0466060250269045,-0.06944454782743735,9.01282979323844,-0.16344152742928986,-0.09499630564666367,0.061485155488693904,-0.2661690963578988,-0.5111700967642427,-0.2407698785656402,1.00621316821185,0.49485793936296896,-0.01972412057415704,-0.4993423421529273,0.6740622341066824,-1.6772011586104627,-0.6515605749287049
2025-10-25,-0.23299176252373816,-0.9306843308678908,-1.0651442770243207,-0.14576887502020272,-1.0423762590817418,-1.059992967254978,-1.8009103595269205,-0.17402159430072756,-0.9849572390832861,-0.9890671980226009,-0.09622504486493763,2.6713464340671886,-0.9918926456740462,-0.17207600461383638,-2.5061863625608134,-0.9707308193047772,-0.13550074223469824,-0.18060018044882273,-0.8101381982262116,-0.7831532650411103,-0.4450889669836756,-1.560703305142491,-0.3212866997099576,-0.37542592640490224,-0.24766339563150477,-0.18053303197741807,2.246935777846078,1.6956632774918545,-1.2165140064784012,0.061364026912453615,-0.6022898768531688,-0.5744558198149722,-1.3063200268989903,0.4970829675744088,-0.7177465767260193,-0.323491727115547,0.05155835329309597,-1.1607403364193096,-2.2943441157322577,-1.4960813882919002
2025-10-26,-0.2668417497310657,-0.8392808537785947,-1.0552626761605297,-0.14553427245865108,1.327119221484767,1.7442766856047183,-1.1000088719276198,-0.1906511695856163,-1.0147918000209304,-1.1026652378621713,-0.09622504486493763,-0.2155165206150968,-1.1064090647485159,-0.17207950465330413,0.5443980086289818,-1.8543307489309304,-2.831216111802769,0.006202630130707495,-0.44628785881374966,-0.7328682617861058,-0.49565768695481005,-1.5288814518461924,-0.4187044884964458,-0.4772058102130006,1.166481303894892,-0.20981487329037257,-0.165376670031731,-0.16344152742928986,-1.6883522765529297,0.06219668248748235,-0.6667424870917404,-0.579944350109708,-1.4888615762853694,-0.1313932421898437,-0.24520312648568143,0.4452551608472949,0.30631467508566146,-0.42921944727397954,-1.5662136881943873,-1.5536581234852749
2025-10-27,-0.13331761883264012,-0.9431947150755376,-1.0681677886402827,-0.14415071889052603,0.21779929533903603,0.5474734836526408,0.6711417009029663,-0.09088502282209292,-0.7202422742463793,-0.07403877971135844,-0.09622504486493763,-0.2155165206150968,0.019225875815203908,-0.17206900453490084,0.5536891645430552,0.8284539100693258,-0.3775021525094731,-0.059593398634237245,0.521610452007163,-0.8110545439579878,-0.3818079822204225,-1.497059598549894,6.170955575689159,-0.017154767747896642,-0.043529986954453044,-0.060443573105045854,-0.165376670031731,-0.16344152742928986,0.26172907237959325,0.06147918744530698,2.490041744202454,-0.48488918345715015,0.9278092742696528,0.8241440966665146,0.8465323411185086,0.5772018924757641,-0.5317314463528681,0.8078415963922426,-1.5038156655889856,0.28578271908883834
2025-10-28,-0.13577717031544342,-0.9445889202576322,-1.0694042756815405,-0.14244233100640638,-0.3990274833327299,-0.2853436559095802,1.1770620148686382,-0.0925468498560009,-0.6877151685078561,0.20341897829564368,-0.09622504486493763,-0.2155165206150968,0.04536144453422366,-0.17207600461383638,0.5674501127036288,0.8336648490076388,-0.4091661079235305,-0.061616062283166614,0.5755189056639323,-0.778638490208308,-0.37749669138623393,-1.4652377452535956,0.014066336126800711,9.499437116144806,-0.048567167204100634,-0.06173013902104419,-0.165376670031731,-0.16344152742928986,-0.6463386723183371,0.06151793107479235,0.1593835134369779,-0.4213459142304115,1.0979453351122643,0.8289555551969858,0.813869842649793,0.5914655854105261,-0.4960582503288811,1.0605178818667151,-1.617982582866539,0.3602193515301759
2025-10-29,-0.1374562241277038,-0.9498220545352034,-1.0701247153601814,-0.14087229847909924,-0.4309767561286478,-0.31117485650669013,1.071840896938596,-0.10994516145589465,0.7613982106158871,0.045799449829594094,-0.09622504486493763,-0.2155165206150968,0.16689287373992676,-0.17207950465330413,0.5306421021555338,0.5301471161476349,-2.59028341552848,-0.06849953857603641,-0.18752155680840857,-0.8114530252755926,0.10751466852061667,-1.4334158919572972,6.5721320160320325,0.004525085607616375,8.282539423773704,-0.06416364354432788,-0.165376670031731,-0.16344152742928986,0.2778385030312014,0.06286558987208372,2.689378420916226,0.004165034612642463,0.08154491556703053,-2.1454591552521642,-1.9976080746292104,-2.249400614729551,2.546863866961412,-0.39283700706056307,-1.4648653615197569,0.4290360182221925
2025-10-30,-0.13489173178163424,-0.935304433421544,-1.0672765210289437,-0.14394017813015916,-0.15187430134294386,0.08702192434831138,1.3391884312710498,-0.09319123176710807,0.7915957927886772,0.18858484312832316,-0.09622504486493763,-0.2155165206150968,0.02380942963251418,-0.17204800429809428,0.5769907976991647,0.4725489463980955,-0.47829996190265084,-0.062266326561290844,0.09596846271253247,-0.8122574459435492,0.10479610760294254,-1.4015940386609986,0.0035596629414313707,0.009432694570744094,-0.0467537823142275,10.127921782581781,-0.165376670031731,-0.16344152742928986,-0.05005794783974973,0.06151183329133206,0.15691207126839493,-0.023891613056555624,1.1058765336962428,0.9709912769266921,0.6184098151227989,-0.025521742687170522,-0.43831916533405435,0.542628658725629,-1.3972612797125885,0.4410203160452479
